# 1/kFa	mu	Delta
-3.000000	0.499939	0.005072
-2.846154	0.499885	0.006247
-2.692308	0.499806	0.007822
-2.538462	0.499687	0.009893
-2.384615	0.499508	0.012566
-2.230769	0.499234	0.015976
-2.076923	0.498811	0.020304
-1.923077	0.498160	0.025783
-1.769231	0.497165	0.032701
-1.615385	0.495652	0.041403
-1.461538	0.493369	0.052296
-1.307692	0.489960	0.065841
-1.153846	0.484930	0.082538
-1.000000	0.477619	0.102896
-0.846154	0.467173	0.127381
-0.692308	0.452541	0.156359
-0.538462	0.432484	0.190023
-0.384615	0.405606	0.228337
-0.230769	0.370406	0.270993
-0.076923	0.325316	0.317411
0.076923	0.268741	0.366765
0.230769	0.199068	0.418062
0.384615	0.114676	0.470245
0.538462	0.013945	0.522322
0.692308	-0.104691	0.573490
0.846154	-0.242684	0.623202
1.000000	-0.401301	0.671163
1.153846	-0.581595	0.717276
1.307692	-0.784417	0.761576
1.461538	-1.010441	0.804163
1.615385	-1.260209	0.845169
1.769231	-1.534163	0.884732
1.923077	-1.832673	0.922984
2.076923	-2.156055	0.960046
2.230769	-2.504592	0.996028
2.384615	-2.878536	1.031028
2.538462	-3.278123	1.065131
2.692308	-3.703573	1.098415
2.846154	-4.155098	1.130948
3.000000	-4.632901	1.162790
